Job_Title,Company,Location,Match_Score_%
Senior Python Developer,"Payne, Roberts and Davis","Stewartbury, AA",1.26
Energy engineer,Vasquez-Davidson,"Christopherville, AA",0.0
Legal executive,"Jackson, Chambers and Levy","Port Ericaburgh, AA",2.06
Fitness centre manager,Savage-Bradley,"East Seanview, AP",0.0
Product manager,Ramirez Inc,"North Jamieview, AP",0.0
Medical technical officer,Rogers-Yates,"Davidville, AP",0.0
Physiological scientist,Kramer-Klein,"South Christopher, AE",0.0
Textile designer,Meyers-Johnson,"Port Jonathan, AE",0.0
Television floor manager,Hughes-Williams,"Osbornetown, AE",0.0
Waste management officer,"Jones, Williams and Villa","Scotttown, AP",4.93
Software Engineer (Python),Garcia PLC,"Ericberg, AE",1.35
Interpreter,Gregory and Sons,"Ramireztown, AE",0.0
Architect,"Clark, Garcia and Sosa","Figueroaview, AA",0.0
Meteorologist,Bush PLC,"Kelseystad, AA",0.0
Audiological scientist,Salazar-Meyers,"Williamsburgh, AE",0.0
English as a second language teacher,"Parker, Murphy and Brooks","Mitchellburgh, AE",0.0
Surgeon,Cruz-Brown,"West Jessicabury, AA",0.0
Equities trader,Macdonald-Ferguson,"Maloneshire, AE",0.0
Newspaper journalist,"Williams, Peterson and Rojas","Johnsonton, AA",0.0
Materials engineer,Smith and Sons,"South Davidtown, AP",0.0
Python Programmer (Entry-Level),"Moss, Duncan and Allen","Port Sara, AE",1.1
Product/process development scientist,Gomez-Carroll,"Marktown, AA",0.0
"Scientist, research (maths)","Manning, Welch and Herring","Laurenland, AE",0.0
Ecologist,"Lee, Gutierrez and Brown","Lauraton, AP",0.0
Materials engineer,"Davis, Serrano and Cook","South Tammyberg, AP",0.0
Historic buildings inspector/conservation officer,Smith LLC,"North Brandonville, AP",0.0
Data scientist,Thomas Group,"Port Robertfurt, AA",21.34
Psychiatrist,Silva-King,"Burnettbury, AE",0.0
Structural engineer,Pierce-Long,"Herbertside, AA",0.0
Immigration officer,Walker-Simpson,"Christopherport, AP",0.0
Python Programmer (Entry-Level),Cooper and Sons,"West Victor, AE",1.08
Neurosurgeon,"Donovan, Gonzalez and Figueroa","Port Aaron, AP",0.0
Broadcast engineer,"Morgan, Butler and Bennett","Loribury, AA",0.0
Make,Snyder-Lee,"Angelastad, AP",0.0
"Nurse, adult",Harris PLC,"Larrytown, AE",0.0
Air broker,Washington PLC,"West Colin, AP",0.0
"Editor, film/video","Brown, Price and Campbell","West Stephanie, AP",0.0
"Production assistant, radio",Mcgee PLC,"Laurentown, AP",0.0
"Engineer, communications",Dixon Inc,"Wrightberg, AP",0.0
Sales executive,"Thompson, Sheppard and Ward","Alberttown, AE",2.16
Software Developer (Python),Adams-Brewer,"Brockburgh, AE",1.32
Futures trader,Schneider-Brady,"North Jason, AE",0.0
Tour manager,Gonzales-Frank,"Arnoldhaven, AE",0.0
Cytogeneticist,Smith-Wong,"Lake Destiny, AP",0.0
"Designer, multimedia",Pierce-Herrera,"South Timothyburgh, AP",0.0
Trade union research officer,"Aguilar, Rivera and Quinn","New Jimmyton, AE",1.27
"Chemist, analytical","Lowe, Barnes and Thomas","New Lucasbury, AP",1.47
"Programmer, multimedia","Lewis, Gonzalez and Vasquez","Port Cory, AE",0.0
"Engineer, broadcasting (operations)",Taylor PLC,"Gileston, AA",0.0
"Teacher, primary school","Oliver, Jones and Ramirez","Cindyshire, AA",4.69
Python Developer,Rivera and Sons,"East Michaelfort, AA",1.32
Manufacturing systems engineer,Garcia PLC,"Joybury, AE",0.0
"Producer, television/film/video","Johnson, Wells and Kramer","Emmatown, AE",0.0
"Scientist, forensic",Gonzalez LLC,"Colehaven, AP",0.0
Bonds trader,"Morgan, White and Macdonald","Port Coryton, AE",0.0
Editorial assistant,Robinson-Fitzpatrick,"Amyborough, AA",0.0
Photographer,"Waters, Wilson and Hoover","Reynoldsville, AA",0.0
Retail banker,Hill LLC,"Port Billy, AP",0.0
Jewellery designer,Li-Gregory,"Adamburgh, AA",0.0
Ophthalmologist,"Fisher, Ryan and Coleman","Wilsonmouth, AA",0.0
"Back-End Web Developer (Python, Django)",Stewart-Alexander,"South Kimberly, AA",0.98
Licensed conveyancer,Abbott and Sons,"Benjaminland, AP",0.0
Futures trader,"Bryant, Santana and Davenport","Zacharyport, AA",0.0
Counselling psychologist,Smith PLC,"Port Devonville, AE",0.0
Insurance underwriter,Patterson-Singh,"East Thomas, AE",0.0
"Engineer, automotive",Martinez-Berry,"New Jeffrey, AP",1.61
"Producer, radio","May, Taylor and Fisher","Davidside, AA",0.0
Dispensing optician,"Bailey, Owen and Thompson","Jamesville, AA",0.0
"Designer, fashion/clothing",Vasquez Ltd,"New Kelly, AP",1.37
Chartered loss adjuster,Leblanc LLC,"Lake Antonio, AA",0.0
"Back-End Web Developer (Python, Django)","Jackson, Ali and Mckee","New Elizabethside, AA",2.23
Forest/woodland manager,"Blankenship, Knight and Powell","Millsbury, AE",0.0
Clinical cytogeneticist,"Patton, Haynes and Jones","Lloydton, AP",0.0
Print production planner,Wood Inc,"Port Jeremy, AA",0.0
Systems developer,Collins Group,"New Elizabethtown, AA",1.65
Graphic designer,Flores-Nelson,"Charlesstad, AE",0.0
Writer,"Mitchell, Jones and Olson","Josephbury, AE",0.0
Field seismologist,Howard Group,"Seanfurt, AA",2.65
Chief Strategy Officer,Kramer-Edwards,"Williambury, AA",0.0
Air cabin crew,Berry-Houston,"South Jorgeside, AP",0.0
Python Programmer (Entry-Level),Mathews Inc,"Robertborough, AP",1.16
Warden/ranger,Riley-Johnson,"South Saratown, AP",0.0
Sports therapist,Spencer and Sons,"Hullview, AA",0.0
Arts development officer,Camacho-Sanchez,"Philipland, AP",0.0
Printmaker,Oliver and Sons,"North Patty, AE",0.0
Health and safety adviser,Eaton PLC,"North Stephen, AE",0.0
Manufacturing systems engineer,Stanley-Frederick,"Stevensland, AP",0.0
"Programmer, applications",Bradley LLC,"Reyesstad, AE",2.86
Medical physicist,"Parker, Goodwin and Zavala","Bellberg, AP",0.0
Media planner,Kim-Miles,"North Johnland, AE",0.0
Software Developer (Python),Moreno-Rodriguez,"Martinezburgh, AE",1.32
"Surveyor, land/geomatics",Brown-Ortiz,"Joshuatown, AE",0.0
Legal executive,Hartman PLC,"West Ericstad, AA",2.0
"Librarian, academic",Brooks Inc,"Tuckertown, AE",0.0
Barrister,Washington-Castillo,"Perezton, AE",0.0
Museum/gallery exhibitions officer,"Nguyen, Yoder and Petty","Lake Abigail, AE",0.0
"Radiographer, diagnostic",Holder LLC,"Jacobshire, AP",0.0
Database administrator,Yates-Ferguson,"Port Susan, AE",2.5
Furniture designer,Ortega-Lawrence,"North Tiffany, AA",0.0
Ship broker,"Fuentes, Walls and Castro","Michelleville, AP",0.0
